nbre_observation;annee;bbtd;population;QA;QE;Q1;Q2;Q5;Q7;Q8;Q9;Q14;Q17;Q23;Q25;Q30;Q35;Q43-Est;Q43-Sud;Q43-Ouest;Q43-Nord;Q45-Est;Q45-Sud;Q45-Ouest;Q45-Nord;QB;QC;QD;Q11;Q12;Q13;Q20;Q40-Est;Q40-Sud;Q40-Ouest;Q40-Nord
1;2019;1;58;2;6;1;8;3;99;1;2;1;0;99;99;0;1;6;4;3;5;3;3;3;5;2.534448;6.630368;17;2;0,0145;4;0,0689;0;3;0;0
2;2019;1;1500;2;6;2;8;3;99;1;5;1;0;99;99;1;1;3;3;3;6;3;3;3;3;2.534811;6.627575;17;10;0,15;10;0,007;74;0;0;0
3;2019;0;200;2;5;2;8;3;13;2;4;1;1;1;0;0;1;0;4;0;1;0;4;0;1;2.553477;6.631544;22;7;0,04;0;0;43;17;0;0
42;2019;0;150;2;5;2;8;3;13;2;4;1;1;1;0;0;1;4;4;4;4;4;4;4;4;2.553477;6.631544;22;7;0,075;0;0;3;30;10;15
4;2019;0;99;2;5;1;8;3;11;1;2;1;1;0;0;1;1;4;0;0;3;4;0;0;3;2.556056;6.632208;22;6;0,033;0;0;18;0;0;0
5;2019;1;20;2;5;1;8;3;1;1;5;1;1;1;0;0;1;3;0;0;3;3;0;0;3;2.550276;6.633602;22;2;0,02;3;0,15;0;0;0;0
6;2019;1;50;2;6;2;9;3;13;1;4;1;1;0;1;0;1;5;3;5;1;5;3;5;1;2.530041;6.615347;15;1;0,05;13;0,3;0;0;0;0
7;2019;1;55;2;6;1;8;1;99;1;2;1;1;0;0;1;1;4;4;4;4;4;4;4;4;2.530041;6.615347;15;4;0,055;2;0,036;30;40;20;10
8;2019;1;65;2;5;2;8;1;99;1;2;1;1;0;0;1;1;5;3;5;5;5;3;5;5;2.532417;6.616858;15;3;0,065;10;0,15;0;0;0;0
9;2019;1;20;2;6;1;8;3;5;1;2;1;1;1;0;0;1;3;6;6;5;3;6;3;5;2.529933;6.616626;15;4;0,002;8;0,4;30;0;0;0
10;2019;1;10;2;5;1;11;1;13;1;2;0;0;0;0;0;1;3;5;3;3;0;5;3;3;2.532914;6.617559;15;0;0,01;5;0,5;0;0;0;0
11;2019;1;22;2;6;1;11;3;13;1;2;1;0;1;0;1;1;6;6;6;6;6;6;6;6;2.532538;6.612167;13;1;0,022;5;0,227;10;0;20;15
12;2019;0;125;1;5;2;8;3;99;4;5;1;0;0;0;0;1;0;4;0;0;0;4;0;0;2.579655;6.574849;17;4;0,125;0;0;0;30;0;0
13;2019;0;45;1;5;2;1;3;4;5;1;1;1;0;0;0;1;0;5;0;0;0;5;0;0;2.581271;6.567012;17;1;0,045;0;0;0;0;50;0
14;2019;1;80;1;3;2;8;3;99;1;2;1;1;1;0;0;1;0;3;3;0;0;4;3;0;2.575755;6.572269;13;5;0,08;5;0,0625;0;20;0;0
15;2019;0;400;1;3;1;1;3;99;4;2;1;1;0;0;0;1;0;0;0;0;0;0;0;0;2.584530;6.571723;15;1;0,1;0;0;0;0;0;0
16;2019;0;150;5;7;2;8;3;13;4;2;1;1;0;1;1;1;3;0;0;3;3;0;3;3;2.696273;6.518256;17;5;0,0375;0;0;0;0;40;0
17;2019;1;45;5;7;2;11;1;4;1;2;1;1;1;0;0;1;0;6;3;3;0;6;3;3;2.695748;6.518192;19;1;0,045;5;0,111;40;0;15;0
18;2019;0;10;5;7;1;8;1;99;2;2;1;0;1;0;0;1;0;0;5;0;0;0;5;0;2.694338;6.515764;18;4;0,01;0;0;0;0;0;0
19;2019;1;70;5;7;2;8;3;99;1;5;1;1;1;0;0;1;3;5;4;5;3;6;4;5;2.695009;6.514831;22;3;0,07;2;0,0286;0;0;5;0
20;2019;0;47;5;8;1;1;1;2;1;2;1;1;1;0;0;1;4;0;0;5;4;0;0;5;2.695009;6.514831;9;1;0,047;0;0;5;40;50;0
21;2019;0;65;5;7;1;8;3;13;4;2;1;1;0;0;0;1;6;0;6;6;6;0;6;3;2.695166;6.513881;22;20;0,0325;0;0;0;0;20;30
22;2019;0;95;5;3;2;8;3;99;1;2;1;1;1;1;0;1;3;3;3;1;3;3;3;1;2.706621;6.466923;15;4;0,095;0;0;0;0;0;0
23;2019;1;300;5;6;2;9;3;1;1;2;1;0;0;0;0;1;1;3;4;0;4;3;4;4;2.694661;6.483818;15;0;0,06;1;0,0033;2;0;50;30
24;2019;1;150;5;7;2;8;1;99;2;2;1;1;0;0;0;1;4;5;3;6;4;5;3;6;2.689018;6.484699;26;3;0,075;3;0,02;15;0;0;0
25;2019;1;1500;5;6;2;0;1;99;2;4;1;1;0;0;0;1;3;4;4;3;3;4;4;3;2.670903;6.458298;29;1;0,25;10;0,0066;0;0;1;0
26;2019;0;501;5;6;2;8;1;11;2;4;1;1;0;0;0;1;3;5;5;4;3;5;5;4;2.670903;6.458298;29;2;0,167;0;0;1;0;0;10
27;2019;1;65;5;7;1;8;1;99;1;5;1;1;0;0;0;1;4;4;3;1;4;4;3;1;2.690543;6.510468;30;10;0,065;2;0,031;14;45;40;0
