CLUSTER             LOC_ID                          LATITUDE            LONGITUDE           RADIUS              START_DATE        END_DATE          NUMBER_LOC          LLR                 P_VALUE             OBSERVED            EXPECTED            ODE                 REL_RISK            POPULATION          GINI_CLUST
1                   10                              6.617559            2.532914            0.095               2019/1/1          2019/12/31        2                   35.757045           1e-017              15                  0.55                27.23               29.80               75.00               T 
2                   6                               6.615347            2.530041            0                   2019/1/1          2019/12/31        1                   30.911437           0.00000000000000266 15                  0.77                19.45               21.26               105.00              T 
3                   9                               6.616626            2.529933            0                   2019/1/1          2019/12/31        1                   24.312856           0.00000000000622    8                   0.15                54.46               57.13               20.00               T 
4                   47                              6.537118            1.807665            0                   2019/1/1          2019/12/31        1                   18.091456           0.00000000937       10                  0.66                15.13               16.02               90.00               T 
5                   44                              6.537335            1.805340            0                   2019/1/1          2019/12/31        1                   13.399866           0.00000233          10                  1.10                9.08                9.59                150.00              T 
6                   11                              6.612167            2.532538            0                   2019/1/1          2019/12/31        1                   12.392516           0.00000763          5                   0.16                30.94               31.86               22.00               T 
7                   64                              6.555483            2.553782            0                   2019/1/1          2019/12/31        1                   10.898819           0.0000442           5                   0.22                22.69               23.36               30.00               T 
8                   17                              6.518192            2.695748            0                   2019/1/1          2019/12/31        1                   8.978569            0.000423            5                   0.33                15.13               15.56               45.00               T 
9                   45                              6.437335            1.805340            0                   2019/1/1          2019/12/31        1                   8.499689            0.000742            7                   0.88                7.94                8.24                120.00              T 
10                  49                              6.609337            1.634770            0                   2019/1/1          2019/12/31        1                   7.518319            0.00235             0                   7.35                0                   0                   1001.00             T 
11                  28                              6.512659            2.695802            0                   2019/1/1          2019/12/31        1                   7.047994            0.00409             3                   0.11                27.23               27.71               15.00               T 
12                  14                              6.572269            2.575755            0                   2019/1/1          2019/12/31        1                   6.351863            0.0170              5                   0.59                8.51                8.74                80.00               T 
13                  5                               6.633602            2.550276            0                   2019/1/1          2019/12/31        1                   6.221045            0.0210              3                   0.15                20.42               20.77               20.00               T 
14                  32                              6.729268            2.708346            0                   2019/1/1          2019/12/31        1                   6.133706            0.0220              0                   6.02                0                   0                   820.00              T 
15                  1                               6.630368            2.534448            0                   2019/1/1          2019/12/31        1                   5.422634            0.0280              4                   0.43                9.39                9.59                58.00               T 
16                  52                              6.614103            1.664320            0                   2019/1/1          2019/12/31        1                   5.379241            0.0330              5                   0.73                6.81                6.99                100.00              T 
17                  63                              6.533238            2.547602            0                   2019/1/1          2019/12/31        1                   5.076869            0.0450              3                   0.22                13.61               13.84               30.00               T 
18                  70                              6.498793            2.650665            0                   2019/1/1          2019/12/31        1                   5.076869            0.0450              3                   0.22                13.61               13.84               30.00               T 
19                  56                              6.662028            2.613145            0                   2019/1/1          2019/12/31        1                   3.474733            0.206               2                   0.14                14.33               14.49               19.00               F 
20                  65                              6.485398            2.663049            0                   2019/1/1          2019/12/31        1                   3.379411            0.238               2                   0.15                13.61               13.77               20.00               F 
21                  37                              6.780975            2.709683            0                   2019/1/1          2019/12/31        1                   3.360780            0.271               0                   3.33                0                   0                   453.00              F 
22                  15                              6.571723            2.584530            0                   2019/1/1          2019/12/31        1                   2.964085            0.408               0                   2.94                0                   0                   400.00              F 
23                  3                               6.631544            2.553477            0                   2019/1/1          2019/12/31        1                   2.590702            0.540               0                   2.57                0                   0                   350.00              F 
24                  61                              6.665477            2.610508            0                   2019/1/1          2019/12/31        1                   2.329827            0.658               0                   2.31                0                   0                   315.00              F 
25                  53                              6.592151            1.699410            0                   2019/1/1          2019/12/31        1                   2.094078            0.797               1                   4.58                0.22                0.21                623.00              F 
26                  35                              6.773268            2.711413            0                   2019/1/1          2019/12/31        1                   1.697954            0.905               0                   1.69                0                   0                   230.00              F 
27                  27                              6.510468            2.690543            0                   2019/1/1          2019/12/31        1                   1.349309            0.961               2                   0.48                4.19                4.23                65.00               F 
28                  62                              6.668498            2.607401            0                   2019/1/1          2019/12/31        1                   1.327371            0.969               0                   1.32                0                   0                   180.00              F 
29                  67                              6.520058            2.695083            0.078               2019/1/1          2019/12/31        3                   1.179366            0.993               0                   1.18                0                   0                   160.00              F 
30                  24                              6.484699            2.689018            0                   2019/1/1          2019/12/31        1                   1.117665            0.998               3                   1.10                2.72                2.75                150.00              F 
