LOC_ID                          CLUSTER             P_VALUE             CLU_OBS             CLU_EXP             CLU_ODE             CLU_RR              CLU_POP             LOC_OBS             LOC_EXP             LOC_ODE             LOC_RR              LOC_POP             LOC_LAT             LOC_LONG            GINI_CLUST
10                              1                   1e-017              15                  0.55                27.23               29.80               75.00               5                   0.073               68.07               70.13               10.00               6.617559            2.532914            T 
8                               1                   1e-017              15                  0.55                27.23               29.80               75.00               10                  0.48                20.95               22.21               65.00               6.616858            2.532417            T 
6                               2                   0.00000000000000266 15                  0.77                19.45               21.26               105.00              n/a                 n/a                 n/a                 n/a                 n/a                 6.615347            2.530041            T 
7                               2                   0.00000000000000266 15                  0.77                19.45               21.26               105.00              n/a                 n/a                 n/a                 n/a                 n/a                 6.615347            2.530041            T 
9                               3                   0.00000000000622    8                   0.15                54.46               57.13               20.00               8                   0.15                54.46               57.13               20.00               6.616626            2.529933            T 
47                              4                   0.00000000937       10                  0.66                15.13               16.02               90.00               n/a                 n/a                 n/a                 n/a                 n/a                 6.537118            1.807665            T 
48                              4                   0.00000000937       10                  0.66                15.13               16.02               90.00               n/a                 n/a                 n/a                 n/a                 n/a                 6.537118            1.807665            T 
44                              5                   0.00000233          10                  1.10                9.08                9.59                150.00              10                  1.10                9.08                9.59                150.00              6.537335            1.805340            T 
11                              6                   0.00000763          5                   0.16                30.94               31.86               22.00               5                   0.16                30.94               31.86               22.00               6.612167            2.532538            T 
64                              7                   0.0000442           5                   0.22                22.69               23.36               30.00               5                   0.22                22.69               23.36               30.00               6.555483            2.553782            T 
17                              8                   0.000423            5                   0.33                15.13               15.56               45.00               5                   0.33                15.13               15.56               45.00               6.518192            2.695748            T 
45                              9                   0.000742            7                   0.88                7.94                8.24                120.00              7                   0.88                7.94                8.24                120.00              6.437335            1.805340            T 
49                              10                  0.00235             0                   7.35                0                   0                   1001.00             0                   7.35                0                   0                   1001.00             6.609337            1.634770            T 
28                              11                  0.00409             3                   0.11                27.23               27.71               15.00               3                   0.11                27.23               27.71               15.00               6.512659            2.695802            T 
14                              12                  0.0170              5                   0.59                8.51                8.74                80.00               5                   0.59                8.51                8.74                80.00               6.572269            2.575755            T 
5                               13                  0.0210              3                   0.15                20.42               20.77               20.00               3                   0.15                20.42               20.77               20.00               6.633602            2.550276            T 
32                              14                  0.0220              0                   6.02                0                   0                   820.00              0                   6.02                0                   0                   820.00              6.729268            2.708346            T 
1                               15                  0.0280              4                   0.43                9.39                9.59                58.00               4                   0.43                9.39                9.59                58.00               6.630368            2.534448            T 
52                              16                  0.0330              5                   0.73                6.81                6.99                100.00              5                   0.73                6.81                6.99                100.00              6.614103            1.664320            T 
63                              17                  0.0450              3                   0.22                13.61               13.84               30.00               3                   0.22                13.61               13.84               30.00               6.533238            2.547602            T 
70                              18                  0.0450              3                   0.22                13.61               13.84               30.00               3                   0.22                13.61               13.84               30.00               6.498793            2.650665            T 
56                              19                  0.206               2                   0.14                14.33               14.49               19.00               2                   0.14                14.33               14.49               19.00               6.662028            2.613145            F 
65                              20                  0.238               2                   0.15                13.61               13.77               20.00               2                   0.15                13.61               13.77               20.00               6.485398            2.663049            F 
37                              21                  0.271               0                   3.33                0                   0                   453.00              0                   3.33                0                   0                   453.00              6.780975            2.709683            F 
15                              22                  0.408               0                   2.94                0                   0                   400.00              0                   2.94                0                   0                   400.00              6.571723            2.584530            F 
3                               23                  0.540               0                   2.57                0                   0                   350.00              n/a                 n/a                 n/a                 n/a                 n/a                 6.631544            2.553477            F 
42                              23                  0.540               0                   2.57                0                   0                   350.00              n/a                 n/a                 n/a                 n/a                 n/a                 6.631544            2.553477            F 
61                              24                  0.658               0                   2.31                0                   0                   315.00              0                   2.31                0                   0                   315.00              6.665477            2.610508            F 
53                              25                  0.797               1                   4.58                0.22                0.21                623.00              1                   4.58                0.22                0.21                623.00              6.592151            1.699410            F 
35                              26                  0.905               0                   1.69                0                   0                   230.00              0                   1.69                0                   0                   230.00              6.773268            2.711413            F 
27                              27                  0.961               2                   0.48                4.19                4.23                65.00               2                   0.48                4.19                4.23                65.00               6.510468            2.690543            F 
62                              28                  0.969               0                   1.32                0                   0                   180.00              0                   1.32                0                   0                   180.00              6.668498            2.607401            F 
67                              29                  0.993               0                   1.18                0                   0                   160.00              0                   0.29                0                   0                   40.00               6.520058            2.695083            F 
68                              29                  0.993               0                   1.18                0                   0                   160.00              0                   0.73                0                   0                   100.00              6.519742            2.694805            F 
66                              29                  0.993               0                   1.18                0                   0                   160.00              0                   0.15                0                   0                   20.00               6.520694            2.694783            F 
24                              30                  0.998               3                   1.10                2.72                2.75                150.00              3                   1.10                2.72                2.75                150.00              6.484699            2.689018            F 
